sedasch,cs_mn_avg_ol,gslo,gshi,virtual,total,stuteratio,stitlei,totmenrol,totfenrol,stateabb,type,level,charter,magnet,urbanicity,locale,totenrl,perwht,pernam,perasn,perhsp,perblk,perfl,perrl,gifted_flag,lep_flag,sped_flag,avgrdall,ipr_est
350198000474,-0.5153121644334828,N ,N ,Not a virtual school,71.0,11.06,Yes,38.0,33.0,NM,Regular School,Elementary,0.0,0.0,Rural,"Rural, Remote",101.39812,0.042402834,0.0047114249,0.0011778562,0.9517079,0.0,0.52118671,0.13805532,0,0,0,13.600707,163
350198000476,-0.5239772775201482,N ,N ,Not a virtual school,49.0,22.58,Yes,26.0,23.0,NM,Regular School,Elementary,0.0,0.0,Rural,"Rural, Remote",78.884056,0.079992555,0.0086956518,0.0014492753,0.90986252,0.0,0.68288159,0.10111668,0,0,0,14.0343,174
